,Place,Origin_Count,Purchase_Count,Destination_Count,latitude,longitude
0,Cabo Frio,0,0,27,-22.8804369,-42.0189227
1,Amokou,0,1,0,8.460555,-11.779889
2,Grand Bassa,0,6,0,6.1640621,-9.895669
3,Oporto,6,0,0,41.1494512,-8.6107884
4,Ilha de Paquetá ,0,0,1,-22.75935555,-43.10878900322809
5,Gold Coast,0,1105,0,-28.0023731,153.4145987
6,Dois Rios,0,0,1,-23.182161,-44.1901313
7,West of Cape Apolonia,0,5,0,-2.589919,4.987187
8,Biloxi,0,0,5,30.4007626,-88.8893818
9,Marblehead,1,0,0,42.500096,-70.8578253
10,Loango,0,303,0,-5.8700294,14.7632848
11,Lyme,3,0,0,43.809756,-72.156143
12,Rochefort,16,0,0,45.9438412,-0.9687519
13,Paranaguá,3,0,8,-25.5148822,-48.5226695
14,Perth Amboy,1,0,0,40.5200187,-74.2745215
15,Galam,0,5,0,-3.8056139,114.8313395
16,Essequibo,0,0,60,1.4107316,-58.8152325
17,Trujillo,0,0,2,39.4605657,-5.8816626
18,São Tomé or Princes Island,10,60,0,0.3301924,6.733343
19,Key West,0,0,2,24.5625566,-81.7724368
20,Whydah,0,1048,0,6.3666147,2.0853599
21,Elbe,1,0,0,46.7646389,-122.1935396
22,Vlissingen,398,0,0,51.49433865,3.415005767601362
23,Ilha das Palmas,0,0,1,-19.46617045,-40.19852344555221
24,Bight of Benin,0,165,0,5.0,2.1
25,Azores,1,0,0,37.80855645,-25.47313739124529
26,Great Britain,11,0,0,54.31536155,-1.91802349480124
27,Nova Redonda,0,5,0,41.4196381,-8.4875236
28,Bordeaux,368,0,0,44.841225,-0.5800364
29,Roanoke,0,0,1,37.270973,-79.9414313
30,Falmouth (Eng.),1,0,0,50.1552197,-5.0688262
31,Portsmouth,3,0,0,50.8036831,-1.075614
32,Madagascar,0,70,0,-18.9249604,46.4416422
33,Scarcies,0,1,0,9.328559,-12.7746218
34,Grand Popo,0,3,0,6.2763745,1.8067199
35,British Americas,4,0,2,41.6771101,-71.2662025
36,Saint-Brieuc,1,0,0,48.5141134,-2.7603283
37,Cabo de Búzios,0,0,7,-22.7597805,-41.8875267
38,Canasí,1,0,2,23.1146274,-81.7804181
39,Whitehaven,60,0,0,54.5474199,-3.5885335
40,Mariel,0,0,6,22.9890956,-82.7543784
41,Portsmouth (NH),10,0,0,43.0702223,-70.7548621
42,Guatemala,0,0,1,15.5855545,-90.345759
43,Topsham,1,0,0,50.6850732,-3.4658063
44,Cape Coast Castle,0,421,1,5.10362695,-1.24110041642788
45,Porto Novo,0,143,0,6.4990718,2.6253361
46,Epe,0,74,0,52.3270371,5.963194502074892
47,Emden,7,0,0,53.3670541,7.2058304
48,Cabanas,1,0,13,43.4182512,-8.1628346
49,Portudal,0,2,0,14.4411148,-17.0148303
50,Grenada Point,0,1,0,44.785507,-93.193046
51,Mobile,1,0,1,30.6867339,-88.0848929
52,Georgia,2,0,2,32.3293809,-83.1137366
53,Maryland,2,0,60,39.5162401,-76.9382069
54,Beaufort,0,0,3,50.2144406,3.9615305
55,Princes Island and Elmina,0,1,0,0.33333,6.7333
56,Monte Christi,0,0,1,27.7306528,-97.4435945
57,Port-de-Paix,0,0,19,19.9389855,-72.8308129
58,Dieppe,2,0,0,49.9246182,1.0791444
59,St. Paul,0,2,0,44.9497487,-93.0931028
60,Groningen,1,0,0,53.2190652,6.5680077
61,Hispaniola,0,0,22,18.77858115,-70.5427697709766
62,Plymouth,28,0,0,50.3712659,-4.1425658
63,Antigua,51,0,23,17.10371515,-61.79045045805584
64,Coruña,2,0,0,43.3709703,-8.3959425
65,Southeast Africa and Indian Ocean islands,0,20,0,,
66,Port Royal,0,0,27,32.2207592,-80.6723303
67,Massachusetts,1,0,0,42.3788774,-72.032366
68,Rio Assini,0,1,0,5.161389,-3.470278
69,Americas,0,0,473,19.1982908,-99.5486812
70,Santa Catarina,1,0,1,-27.0628367,-51.114965
71,Congo River,0,300,0,-4.2584046,39.5665204
72,Hamburg,15,0,0,53.550341,10.000654
73,Senegambia or Sierra Leone,0,3,0,13.46666667,-16.6
74,Santander,15,0,0,43.4620412,-3.8099719
75,Sherbro,0,48,0,7.51211435,-12.606946341951277
76,Benguela,0,867,0,-12.9104657,14.0356608
77,Camaret,1,0,0,44.1650029,4.8736859
78,San Lucar,271,0,0,-34.888969,-56.0615154
79,Newcastle (Nevis),0,0,108,17.2041387,-62.5846986
80,Luanda,15,3215,3,-8.8272699,13.2439512
81,Ilha Grande,0,0,51,-23.15554055,-44.23448088153183
82,La Guaira,0,0,13,10.5390525,-67.22182660332874
83,Charleston,152,0,699,32.7876012,-79.9402728
84,Congo North,0,216,0,1.1674367,-49.9082917
85,Windward Coast,0,373,0,-27.9280949,153.3214108
86,Pensacola,0,0,3,30.421309,-87.2169149
87,Basse-Terre,0,0,234,16.0000778,-61.7333373
88,Montego Bay,2,0,144,18.4724603,-77.9217357
89,New England,3,0,0,44.2057083,-70.75378387447887
90,Sagua,0,0,7,7.5952826,123.2449725
91,Le Havre,400,0,1,49.4938975,0.1079732
92,Maranhão,12,0,256,-5.2085503,-45.3930262
93,Catuamo and Maria Farinha,0,0,11,-7.595611111,-34.89166667
94,Spanish Americas,0,0,47,28.057347,-16.7322471
95,Léogane,0,0,250,18.5111126,-72.6334255
96,Saint-Domingue,0,0,128,18.4801972,-69.942111
97,Momboza or Zanzibar,0,4,0,39.657923,-4.069605
98,New Bedford,3,0,0,41.6362152,-70.934205
99,Cayenne,0,0,95,4.9371143,-52.3258307
100,Bissau,2,176,0,11.861324,-15.583055
101,Ilha de Itamaric ,0,0,4,,
102,Port-Louis,1,0,0,-20.1624522,57.5028044
103,Windward + Ivory + Gold + Benin,0,184,0,5.161389,-3.470278
104,Magari,0,0,2,-6.930541,37.6492809
105,Providence,10,0,0,41.8239891,-71.4128343
106,Little Bassa,0,2,0,6.033561,-10.2160132
107,Sassandra,0,2,0,4.9490007,-6.0921667
108,Demerara,2,0,277,5.5,-58.333333
109,River del Rey,0,10,0,-25.8623833,26.9011675
110,Grand Mesurado,0,22,0,6.3226174,-10.8039456
111,Rappahannock,1,0,60,38.6926326,-78.1495818
112,Porto de Galinhas,0,0,2,-8.5046818,-35.0049962
113,Arcahaie,0,0,2,18.7701904,-72.5118375
114,Southeast Brazil,1125,0,3,-23.4648073,-46.85841304540889
115,Lourenço Marques,0,17,0,-25.3804653,-49.26453228733004
116,Kilwa,0,14,0,-11.6688171,27.4639992206762
117,Setubal,1,0,0,38.5241783,-8.8932341
